IMMR_code,Disease,live_17-49,live_50-69,live_70+,live_NA,live_Total,year
149,"Bronchitis, emphysema and other chronic obstructive pulmonar",3798,6376,4484,95,17325,2004
150,Asthma (J45-J46),48665,51696,28480,4291,161102,2004
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",4845,16432,13027,37,38427,2014
150,Asthma (J45-J46),48473,58613,35379,308,189721,2014
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",4306.999999999995,18308.99999999999,14756.999999999995,43.000000000000014,40430.999999999956,2015
150,Asthma (J45-J46),47110.00000000003,60836.999999999956,37278.999999999956,142.00000000000006,190337,2015
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",3844.999999999995,16340.999999999969,13466.999999999987,8.000000000000007,36438.99999999993,2016
150,Asthma (J45-J46),41551.99999999994,51071.000000000015,32543.99999999994,172.00000000000006,166406.00000000012,2016
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",4784.000000000004,18297.999999999967,15038.999999999987,17.000000000000014,40865.99999999997,2017
150,Asthma (J45-J46),42891.99999999997,54020.00000000012,34088.99999999995,108.00000000000026,171631.99999999983,2017
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",4282.000000000011,19145,16713.00000000003,15.000000000000005,43287.00000000008,2018
150,Asthma (J45-J46),45142.99999999994,53962.99999999999,35203.00000000003,41.00000000000007,175365.0000000003,2018
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",4452.0000000000055,19834.999999999967,17415.99999999997,15.000000000000002,45715.00000000009,2019
150,Asthma (J45-J46),44875,54616,36677.999999999985,85.00000000000011,177224.99999999983,2019
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",2250.999999999998,11752.000000000002,10922.99999999999,4.000000000000014,26099.000000000036,2020
150,Asthma (J45-J46),27623.99999999997,30021.99999999998,22257.999999999985,67.00000000000011,101750,2020
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",1584.0000000000014,7557.999999999998,6796.000000000002,5.000000000000003,16764.000000000007,2021
150,Asthma (J45-J46),18183.999999999985,18147.999999999993,13543.999999999993,35.000000000000064,62342.99999999995,2021
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",2861.999999999995,15074.000000000002,14117.000000000005,13.000000000000012,35240.00000000001,2022
150,Asthma (J45-J46),34398.999999999985,36877.00000000003,27311.999999999985,34.000000000000014,143136.00000000003,2022
149,"Bronchitis, emphysema and other chronic obstructive pulmonar",3256,6407,4886,89,17373,2005
150,Asthma (J45-J46),46263,49964,29683,3576,159897,2005
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",4230,7825,6089,93,21568,2006
150,Asthma (J45-J46),51259,56808,33794,3809,180285,2006
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",4146,8995,6651,55,23604,2007
150,Asthma (J45-J46),49626,54513,33263,4186,178056,2007
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",3889,9081,6683,34,22792,2008
150,Asthma (J45-J46),53419,58117,40145,4543,195321,2008
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",4389,9928,7202,66,25565,2009
150,Asthma (J45-J46),56989,59160,34295,997,198463,2009
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",4827,11683,8191,65,28044,2010
150,Asthma (J45-J46),54024,59911,34905,519,195053,2010
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",4414,12927,9801,58,30410,2011
150,Asthma (J45-J46),50935,57551,33949,670,186475,2011
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",4299,13329,10391,105,31488,2012
150,Asthma (J45-J46),51481,58015,34909,474,188031,2012
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",4885,15217,11144,32,34659,2013
150,Asthma (J45-J46),49297,58263,34421,334,185955,2013
